"cd_geouf","cd_geocmu","regiao","uf","estado","municipio","bioma","arcodesmat","matopiba","mun_ha","area_ha","year"
"52","5200050","CENTRO-OESTE","GO","GOIÁS","ABADIA DE GOIÁS","CERRADO","0","0","14773.40000000000","9264.98673404","2017"
"51","5100102","CENTRO-OESTE","MT","MATO GROSSO","ACORIZAL","CERRADO","0","0","85272.70000000000","25372.29418679","2017"
"52","5200159","CENTRO-OESTE","GO","GOIÁS","ADELÂNDIA","CERRADO","0","0","11535.30000000000","8824.56754127","2017"
"52","5200100","CENTRO-OESTE","GO","GOIÁS","ABADIÂNIA","CERRADO","0","0","104512.70000000000","40015.66042662","2017"
"31","3100708","SUDESTE","MG","MINAS GERAIS","ÁGUA COMPRIDA","CERRADO","0","0","49221.20000000000","2231.03897515","2017"
"52","5200209","CENTRO-OESTE","GO","GOIÁS","ÁGUA LIMPA","CERRADO","0","0","45285.80000000000","1067.55252404","2017"
"52","5200134","CENTRO-OESTE","GO","GOIÁS","ACREÚNA","CERRADO","0","0","156599.70000000001","45839.98595196","2017"
"35","3500303","SUDESTE","SP","SÃO PAULO","AGUAÍ","CERRADO","0","0","47455.40000000000","1711.54673840","2017"
"31","3100807","SUDESTE","MG","MINAS GERAIS","AGUANIL","CERRADO","0","0","23209.10000000000","3343.58265209","2017"
"35","3500550","SUDESTE","SP","SÃO PAULO","ÁGUAS DE SANTA BÁRBARA","CERRADO","0","0","40446.30000000000","4060.27100641","2017"
"52","5200258","CENTRO-OESTE","GO","GOIÁS","ÁGUAS LINDAS DE GOIÁS","CERRADO","0","0","18838.50000000000","4833.51134876","2017"
"52","5200175","CENTRO-OESTE","GO","GOIÁS","ÁGUA FRIA DE GOIÁS","CERRADO","0","0","202941.60000000001","38445.39440258","2017"
"35","3500600","SUDESTE","SP","SÃO PAULO","ÁGUAS DE SÃO PEDRO","CERRADO","0","0","361.20000000000","19.84797030","2017"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","41937.10817290","2017"
"35","3500709","SUDESTE","SP","SÃO PAULO","AGUDOS","CERRADO","0","0","96670.80000000000","13782.44883897","2017"
"31","3100203","SUDESTE","MG","MINAS GERAIS","ABAETÉ","CERRADO","0","0","181706.50000000000","86391.64272193","2017"
"35","3500758","SUDESTE","SP","SÃO PAULO","ALAMBARI","CERRADO","0","0","15960.00000000000","1418.12656454","2017"
"52","5200308","CENTRO-OESTE","GO","GOIÁS","ALEXÂNIA","CERRADO","0","0","84789.30000000000","29786.11237092","2017"
"52","5200506","CENTRO-OESTE","GO","GOIÁS","ALOÂNDIA","CERRADO","0","0","10216.00000000000","5979.03974672","2017"
"35","3500907","SUDESTE","SP","SÃO PAULO","ALTAIR","CERRADO","0","0","31300.70000000000","1963.38455358","2017"
"31","3101904","SUDESTE","MG","MINAS GERAIS","ALPINÓPOLIS","CERRADO","0","0","45475.10000000000","6642.79719423","2017"
"35","3501004","SUDESTE","SP","SÃO PAULO","ALTINÓPOLIS","CERRADO","0","0","92895.60000000001","3166.78097086","2017"
"51","5100359","CENTRO-OESTE","MT","MATO GROSSO","ALTO BOA VISTA","CERRADO","0","0","224043.79999999999","22053.25133938","2017"
"52","5200555","CENTRO-OESTE","GO","GOIÁS","ALTO HORIZONTE","CERRADO","0","0","50376.40000000000","29270.85580908","2017"
"51","5100508","CENTRO-OESTE","MT","MATO GROSSO","ALTO PARAGUAI","CERRADO","0","0","184481.70000000001","39862.98592447","2017"
"52","5200605","CENTRO-OESTE","GO","GOIÁS","ALTO PARAÍSO DE GOIÁS","CERRADO","0","0","259390.50000000000","25208.90633658","2017"
"51","5100409","CENTRO-OESTE","MT","MATO GROSSO","ALTO GARÇAS","CERRADO","0","0","386691.59999999998","111989.39863735","2017"
"22","2200400","NORDESTE","PI","PIAUÍ","ALTOS","CERRADO","0","0","95765.39999999999","125.76001792","2017"
"22","2200509","NORDESTE","PI","PIAUÍ","AMARANTE","CERRADO","0","0","115520.50000000000","629.37884980","2017"
"35","3501202","SUDESTE","SP","SÃO PAULO","ÁLVARES FLORENCE","CERRADO","0","0","36241.10000000000","11080.81773146","2017"
"51","5100607","CENTRO-OESTE","MT","MATO GROSSO","ALTO TAQUARI","CERRADO","0","0","144040.10000000001","36285.84196875","2017"
"35","3501509","SUDESTE","SP","SÃO PAULO","ALVINLÂNDIA","CERRADO","0","0","8487.90000000000","225.41584651","2017"
"51","5100300","CENTRO-OESTE","MT","MATO GROSSO","ALTO ARAGUAIA","CERRADO","0","0","539929.19999999995","215242.32616384","2017"
"35","3501707","SUDESTE","SP","SÃO PAULO","AMÉRICO BRASILIENSE","CERRADO","0","0","12278.50000000000","202.92985600","2017"
"35","3501608","SUDESTE","SP","SÃO PAULO","AMERICANA","CERRADO","0","0","13391.20000000000","453.50336320","2017"
"52","5200852","CENTRO-OESTE","GO","GOIÁS","AMERICANO DO BRASIL","CERRADO","0","0","13356.30000000000","8957.27441704","2017"
"35","3501806","SUDESTE","SP","SÃO PAULO","AMÉRICO DE CAMPOS","CERRADO","0","0","25287.60000000000","9182.37181642","2017"
"50","5000203","CENTRO-OESTE","MS","MATO GROSSO DO SUL","ÁGUA CLARA","CERRADO","0","0","780921.09999999998","477080.35391107","2017"
"35","3502002","SUDESTE","SP","SÃO PAULO","ANALÂNDIA","CERRADO","0","0","32595.30000000000","4588.48889699","2017"
"52","5200829","CENTRO-OESTE","GO","GOIÁS","AMARALINA","CERRADO","0","0","134323.70000000001","79128.17759830","2017"
"52","5200902","CENTRO-OESTE","GO","GOIÁS","AMORINÓPOLIS","CERRADO","0","0","40852.50000000000","26841.12936457","2017"
"52","5200803","CENTRO-OESTE","GO","GOIÁS","ALVORADA DO NORTE","CERRADO","0","0","125936.60000000001","53723.10654858","2017"
"52","5201108","CENTRO-OESTE","GO","GOIÁS","ANÁPOLIS","CERRADO","0","0","93315.60000000001","37618.35973948","2017"
"35","3502200","SUDESTE","SP","SÃO PAULO","ANGATUBA","CERRADO","0","0","102728.80000000000","5228.89632956","2017"
"31","3102852","SUDESTE","MG","MINAS GERAIS","ANGELÂNDIA","CERRADO","0","0","18521.10000000000","2104.42634950","2017"
"50","5000856","CENTRO-OESTE","MS","MATO GROSSO DO SUL","ANGÉLICA","CERRADO","0","0","127326.80000000000","786.25810006","2017"
"52","5201207","CENTRO-OESTE","GO","GOIÁS","ANHANGUERA","CERRADO","0","0","5695.00000000000","2765.74557980","2017"
"51","5100201","CENTRO-OESTE","MT","MATO GROSSO","ÁGUA BOA","CERRADO","0","0","751063.50000000000","303543.84025257","2017"
